7787-52-2: Be@[1],H@[2]
7787-53-3: Be@[1],I@[2]
13597-99-4: Be@[1],N@[2],O@[6]
13510-48-0: Be@[1],N@[2],O@[10],H@[8]
7787-55-5: Be@[1],N@[2],O@[9],H@[6]
1304-56-9: Be@[1],O@[1]
13327-32-7: Be@[1],O@[2],H@[2]
13598-22-6: Be@[1],S@[1]
13510-49-1: Be@[1],S@[1],O@[4]
7787-56-6: Be@[1],S@[1],O@[8],H@[8]
12232-25-6: Be@[1],Se@[1]
12232-27-8: Be@[1],Te@[1]
506-66-1: Be@[2],C@[1]
13598-00-0: Be@[2],Si@[1],O@[4]
1304-54-7: Be@[3],N@[2]
13598-15-7: Be@[3],P@[2],O@[8]
7787-58-8: Bi@[1],Br@[3]
25573-24-4: Bi@[1],C@[3],H@[3],O@[6]
813-93-4: Bi@[1],C@[6],H@[5],O@[7]
7787-60-2: Bi@[1],Cl@[3]
7787-61-3: Bi@[1],F@[3]
7787-62-4: Bi@[1],F@[5]
18288-22-7: Bi@[1],H@[3]
7787-64-6: Bi@[1],I@[3]
12272-28-5: Bi@[1],Nb@[1],O@[4]
7787-57-7: Bi@[1],O@[1],Br@[1]
7787-59-9: Bi@[1],O@[1],Cl@[1]
10361-43-0: Bi@[1],O@[3],H@[3]
7787-63-5: Bi@[1],O@[1],I@[1]
10361-46-3: Bi@[1],O@[4],N@[1]
5892-10-4: Bi@[2],O@[5],C@[1]
10049-01-1: Bi@[1],P@[1],O@[4]
12272-29-6: Bi@[1],Ta@[1],O@[4]
14059-33-7: Bi@[1],V@[1],O@[4]
6591-55-5: Bi@[2],C@[6],O@[12]
51898-99-8: Bi@[2],Mo@[3],O@[12]
1304-76-3: Bi@[2],O@[3]
12048-50-9: Bi@[2],O@[4]
1345-07-9: Bi@[2],S@[3]
12068-69-8: Bi@[2],Se@[3]
7787-68-0: Bi@[2],Sn@[3],O@[12]
1304-82-1: Bi@[2],Te@[3]
12048-51-0: Bi@[4],Ti@[3],O@[12]
1304-85-4: Bi@[5],O@[22],H@[9],N@[4]
22787-71-9: Bk@[1],Br@[3]
13536-46-4: Bk@[1],Cl@[3]
20716-88-5: Bk@[1],F@[3]
22422-27-1: Bk@[1],F@[4]
23171-53-1: Bk@[1],I@[3]
70424-36-1: Bk@[1],O@[1]
12010-84-3: Bk@[1],O@[2]
12310-58-6: Bk@[2],O@[3]
13863-41-7: Br@[1],Cl@[1]
13863-59-7: Br@[1],F@[1]
7787-71-5: Br@[1],F@[3]
7789-30-2: Br@[1],F@[5]
13973-87-0: Br@[1],N@[3]
21255-83-4: Br@[1],O@[2]
21308-80-5: Br@[2],O@[1]
16941-10-9: Ca@[1],Al@[2],H@[8]
12042-68-1: Ca@[1],Al@[2],O@[4]
12007-99-7: Ca@[1],B@[6]
7789-41-5: Ca@[1],Br@[2]
544-17-2: Ca@[1],C@[2],H@[2],O@[4]
592-01-8: Ca@[1],C@[2],N@[2]
156-62-7: Ca@[1],C@[1],N@[2]
471-34-1: Ca@[1],C@[1],O@[3]
75-20-7: Ca@[1],C@[2]
19855-56-2: Ca@[1],C@[4],H@[2],O@[4]
62-54-4: Ca@[1],C@[4],H@[6],O@[4]
563-72-4: Ca@[1],C@[2],O@[4]
4075-81-4: Ca@[1],C@[6],H@[10],O@[4]
10137-74-3: Ca@[1],Cl@[2],O@[6]
13477-36-6: Ca@[1],Cl@[2],O@[8]
10043-52-4: Ca@[1],Cl@[2]
7774-34-7: Ca@[1],Cl@[2],H@[12],O@[6]
7778-54-3: Ca@[1],Cl@[2],O@[2]
13765-19-0: Ca@[1],Cr@[1],O@[4]
14307-33-6: Ca@[1],Cr@[2],O@[7]
7789-75-5: Ca@[1],F@[2]
7757-93-9: Ca@[1],H@[1],P@[1],O@[4]
7789-78-8: Ca@[1],H@[2]
7789-79-9: Ca@[1],H@[4],P@[2],O@[4]
7789-80-2: Ca@[1],I@[2],O@[6]
10102-68-8: Ca@[1],I@[2]
10118-76-0: Ca@[1],Mn@[2],O@[8]
7789-82-4: Ca@[1],Mo@[1],O@[4]
13780-06-8: Ca@[1],N@[2],O@[4]
10124-37-5: Ca@[1],N@[2],O@[6]
1305-78-8: Ca@[1],O@[1]
1305-62-0: Ca@[1],O@[2],H@[2]
1305-79-9: Ca@[1],O@[2]
13768-54-2: Ca@[1],Re@[2],O@[8]
20548-54-3: Ca@[1],S@[1]
7778-18-9: Ca@[1],S@[1],O@[4]
1305-84-6: Ca@[1],Se@[1]
1344-95-2: Ca@[1],Si@[1],O@[3]
12013-56-8: Ca@[1],Si@[2]
12013-57-9: Ca@[1],Te@[1]
12049-50-2: Ca@[1],Ti@[1],O@[3]
7790-75-2: Ca@[1],W@[1],O@[4]
7790-76-3: Ca@[2],P@[2],O@[7]
1344-95-2: Ca@[2],Si@[1],O@[4]
7778-44-1: Ca@[3],As@[2],O@[8]
5785-44-4: Ca@[3],C@[12],H@[30],O@[14]
12013-82-0: Ca@[3],N@[2]
7758-87-4: Ca@[3],P@[2],O@[8]
1305-99-3: Ca@[3],P@[2]
7789-42-6: Cd@[1],Br@[2]
542-83-6: Cd@[1],C@[2],N@[2]
513-78-0: Cd@[1],C@[1],O@[3]
543-90-8: Cd@[1],C@[4],H@[6],O@[4]
814-88-0: Cd@[1],C@[2],O@[4]
10108-64-2: Cd@[1],Cl@[2]
14312-00-6: Cd@[1],Cr@[1],O@[4]
7790-79-6: Cd@[1],F@[2]
7790-81-0: Cd@[1],I@[2],O@[6]
7790-80-9: Cd@[1],I@[2]
13972-68-4: Cd@[1],Mo@[1],O@[4]
10325-94-7: Cd@[1],N@[2],O@[6]
14215-29-3: Cd@[1],N@[6]
1306-19-0: Cd@[1],O@[1]
21041-95-2: Cd@[1],O@[2],H@[2]
1306-23-6: Cd@[1],S@[1]
10124-36-4: Cd@[1],S@[1],O@[4]
12014-29-8: Cd@[1],Sb@[1]
1306-24-7: Cd@[1],Se@[1]
13477-19-5: Cd@[1],Si@[1],O@[3]
1306-25-8: Cd@[1],Te@[1]
12014-14-1: Cd@[1],Ti@[1],O@[3]
7790-85-4: Cd@[1],W@[1],O@[4]
12187-14-3: Cd@[2],Nb@[2],O@[7]
12006-15-4: Cd@[3],As@[2]
1204-28-7: Cd@[3],P@[2]
12380-95-9: Cd@[3],N@[2]
7790-86-5: Ce@[1],Br@[3]
3252-51-5: Ce@[1],C@[3],H@[3],O@[6]
7790-86-5: Ce@[1],Cl@[3]
22655-57-8: Ce@[1],F@[2]
7758-88-5: Ce@[1],F@[3]
10060-10-3: Ce@[1],F@[4]
13569-50-1: Ce@[1],H@[2]
19139-47-0: Ce@[1],I@[2]
7790-87-6: Ce@[1],I@[3]
25764-08-3: Ce@[1],N@[1]
1306-38-3: Ce@[1],O@[2]
12014-82-3: Ce@[1],S@[1]
13597-19-8需要校对: Ce@[1],V@[1],O@[2]
15750-47-7: Ce@[2],C@[6],O@[12]
1306-38-3: Ce@[2],O@[3]
12014-93-6: Ce@[2],S@[3]
36700-18-2: Cf@[1],Br@[2]
20758-68-3: Cf@[1],Br@[3]
99643-99-9: Cf@[1],Cl@[2]
13536-90-8: Cf@[1],Cl@[3]
42775-52-0: Cf@[1],F@[3]
42845-08-9: Cf@[1],F@[4]
49774-08-5: Cf@[1],I@[2]
20758-81-0: Cf@[1],I@[3]
12015-10-0: Cf@[1],O@[2]
12050-91-8: Cf@[2],O@[3]
7790-89-8: Cl@[1],F@[1]
7790-91-2: Cl@[1],F@[3]
13637-63-3: Cl@[1],F@[5]
27218-16-2: Cl@[2],O@[4]
7791-21-1: Cl@[2],O@[1]
10049-04-4: Cl@[1],O@[2]
17496-59-2: Cl@[2],O@[3]
12442-63-6: Cl@[2],O@[6]
10294-48-1: Cl@[2],O@[7]
14890-42-7: Cm@[1],Br@[3]
13537-20-7: Cm@[1],Cl@[3]
13708-79-7: Cm@[1],F@[3]
24311-95-3: Cm@[1],F@[4]
14696-85-6: Cm@[1],I@[3]
24762-86-5: Cm@[1],O@[1]
12016-67-0: Cm@[1],O@[2]
12371-27-6: Cm@[2],O@[3]
13820-62-7: Co@[1],Al@[2],O@[4]
7789-43-7: Co@[1],Br@[2]
542-84-7: Co@[1],C@[2],N@[2]
71-48-7: Co@[1],C@[4],H@[6],O@[4]
6147-53-1: Co@[1],C@[4],H@[14],O@[8]
814-89-1: Co@[1],C@[2],O@[4]
61789-51-3: Co@[1],C@[22],H@[20],O@[4]
21679-46-9: Co@[1],C@[15],H@[21],O@[6]
13455-31-7: Co@[1],Cl@[2],O@[8]
7646-79-9: Co@[1],Cl@[2]
7791-13-1: Co@[1],Cl@[2],H@[12],O@[6]
10241-04-0: Co@[1],Cl@[3]
24613-38-5: Co@[1],Cr@[1],O@[4]
13455-25-9: Co@[1],Cr@[2],O@[4]
10026-17-2: Co@[1],F@[2]
10026-18-3: Co@[1],F@[3]
13596-45-7: Co@[1],F@[4]
15238-00-3: Co@[1],I@[2]
13455-28-2: Co@[1],I@[2],O@[6]
13762-14-6: Co@[1],Mo@[1],O@[4]
10141-05-6: Co@[1],N@[2],O@[6]
10026-22-9: Co@[1],N@[2],O@[12],H@[12]
15520-84-0: Co@[1],N@[3],O@[9]
1307-96-6: Co@[1],O@[1]
21041-93-0: Co@[1],O@[2],H@[2]
1307-86-4: Co@[1],O@[3],H@[3]
1317-42-6: Co@[1],S@[1]
12013-10-4: Co@[1],S@[2]
1307-99-9: Co@[1],Se@[1]
12017-13-9: Co@[1],Te@[1]
12017-01-5: Co@[1],Ti@[1],O@[3]
12640-47-0: Co@[1],W@[1],O@[4]
1308-04-9: Co@[2],O@[3]
12016-80-7: Co@[2],O@[4],H@[2]
10124-43-3: Co@[1],S@[1],O@[4]
1332-71-4: Co@[2],S@[3]
12017-08-2: Co@[2],Si@[1],O@[4]
12139-93-4: Co@[2],Sn@[1],O@[4]
12017-38-8: Co@[2],Ti@[1],O@[4]
14049-81-1: Co@[3],Fe@[2],C@[12],N@[12]
10049-25-9: Cr@[1],Br@[2]
10031-25-1: Cr@[1],Br@[3]
23098-84-2: Cr@[1],Br@[4]
14639-25-9: Cr@[1],C@[18],H@[12],N@[3],O@[6]
13007-92-6: Cr@[1],C@[6],O@[6]
10049-05-5: Cr@[1],Cl@[2]
10025-73-7: Cr@[1],Cl@[3]
15597-88-3: Cr@[1],Cl@[4]
10049-10-2: Cr@[1],F@[2]
7788-97-8: Cr@[1],F@[3]
10049-11-3: Cr@[1],F@[4]
14884-42-5: Cr@[1],F@[5]
13843-28-2: Cr@[1],F@[6]
13478-28-9: Cr@[1],I@[2]
13569-75-0: Cr@[1],I@[3]
